☘️4GTV,#genre# 
中天新闻,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv009
东森新闻,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv152
东森财经新闻,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv153
tvbs新闻台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv072
民视台湾台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv001
民视,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv002
民视第一台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv003
民视综艺台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv004
猪哥亮歌厅秀,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv006
非凡新闻,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv010
影迷数位电影台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv011
视纳华仁纪实频道,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv013
时尚运动,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv014
GLOBETROTTER,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv016
amc电影台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv017
达文西频道,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv018
八大精彩台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv034
八大综艺台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv039
中视,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv040
华视,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv041
公视戏剧,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv042
客家电视台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv043
靖天卡通台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv044
靖天戏剧台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv045
靖天综合台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv046
靖天日本台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv047
非凡商业,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv048
采昌戏剧,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv049
台视新闻,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv051
华视新闻,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv052
GinxTV,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv053
靖天欢乐台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv054
靖天映画,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv055
台视财经,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv056
靖洋卡通台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv057
靖天戏剧台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv058
古典音乐台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv059
靖天电影台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv061
靖天育乐台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv062
靖天国际台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv063
中视菁采,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv064
靖天资讯台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv065
台视,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv066
tvbs精采台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv067
tvbs欢乐台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv068
爱尔达娱乐,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv070
tvbs,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv073
中视新闻,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv074
镜新闻,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv075
CATCHPLAY电影台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv076
TRACE SPORTS STARS,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv077
阿里郎,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv079
中视经典,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv080
TRACE URBAN,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv082
MEZZO LIVE,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv083
国会频道1,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv084
国会频道2,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv085
智林体育台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv101
国际财经,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv104
第1商业台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv109
民视,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv155
民视台湾台,http://66123.ddns.net:36666/litv.php?id=4gtv-4gtv156
美国之音,http://66123.ddns.net:36666/litv.php?id=litv-ftv03
民视旅游,http://66123.ddns.net:36666/litv.php?id=litv-ftv07
